,rounds,reward,NagentsIn,thoryvos,realThoryvos,aIV,aEV,aFN,aBN,stdii,stdfi,stdbi,stdei,stdsel,Eii,Efi,Ebi,Eei,Esel,stdii_real,Eii_real
1831,1831,15.476593196297632,28,-11.810019930162952,-17.588666222148323,13.0,11.0,5.0,71.0,1.4066681240606733,1.425280385670107,0.29373673314965615,0.0,0.640483699691318,-0.1739994339873628,-0.28519122787569745,-0.1530512554040572,-0.7291521782507483,-0.11810019930162953,0.0,0
1832,1832,17.39994339873629,28,-24.643264062755353,-26.425447498683514,9.0,15.0,9.0,67.0,1.4533997636501728,1.5966072920043015,0.28008263478443485,0.0,0.6550988778661849,-0.2629928579470139,-0.4803415038768136,-0.2293233125964664,-0.7542624611864683,-0.24643264062755355,0.0,0
1833,1833,26.29928579470138,28,-25.9436095010661,-22.53692886993603,8.0,8.0,5.0,79.0,1.4718363684882383,1.5162772187179483,0.2857945364371218,0.0,0.6457272790961528,-0.32684063522388057,-0.21823142413646052,-0.24164822226012792,-0.7761665501066097,-0.25943609501066095,0.0,0
1834,1834,32.68406352238805,28,-31.90791649437609,-26.229621042979183,13.0,8.0,5.0,74.0,1.4262925727403064,1.58616417446634,0.29958640340077547,0.0,0.7184607185263918,-0.20927659042781277,-0.3680897533397104,-0.21354410111818453,-0.6557089157898208,-0.31907916494376093,0.0,0
1835,1835,20.927659042781276,28,-31.6918286598502,-33.82233680026145,6.0,9.0,4.0,81.0,1.4879779599728247,1.531703966987813,0.2817239838001531,0.0,0.5467898535522269,-0.31805158319493637,-0.37227264621726,-0.30865570063562575,-0.7369128732550306,-0.31691828659850196,0.0,0
1836,1836,31.805158319493636,28,-34.93100348946136,-34.82015770491803,8.0,9.0,7.0,76.0,1.5158886445014512,1.5550901215541062,0.2836953578557455,0.0,0.6548409795665998,-0.35039615222482434,-0.40311637704918035,-0.3280741162177986,-0.8174179156908666,-0.3493100348946136,0.0,0
1837,1837,35.039615222482446,28,-22.673958218608963,-16.42837802532729,8.0,7.0,8.0,77.0,1.46005551358399,1.5143013798089304,0.28149576244293806,0.0,0.6383069948109344,-0.25890883558644756,-0.09696283392462499,-0.23254161034053575,-0.7492799481456199,-0.22673958218608967,0.0,0
1838,1838,25.890883558644752,28,-32.88338611924685,-31.87677116108786,7.0,9.0,8.0,76.0,1.511203182328192,1.5756148301730981,0.30839883987165856,0.0,0.6204052881108689,-0.398744910041841,-0.47295332060669454,-0.33746880783211297,-0.8554472541841005,-0.3288338611924686,0.0,0
1839,1839,39.8744910041841,84,-121.06980498014428,-115.01430599319235,5.0,1.0,9.0,85.0,1.5513463682115567,1.6008452562286974,0.3175340850601289,0.0,0.6879130075291402,-1.2908508931031686,-1.3781668368587403,-1.179851473356836,-1.3444454980144256,-1.2106980498014424,0.0,0
1840,1840,129.08508931031685,35,-37.78545887798953,-30.878463917699737,5.0,11.0,12.0,72.0,1.3919606153109496,1.6035080951637697,0.27716944369270796,0.0,0.62450756072136,-0.40848241726100754,-0.4799781804733729,-0.3941880263712962,-0.8913906169145275,-0.37785458877989525,0.0,0
1841,1841,40.84824172610077,28,-24.799748260153653,-22.70670628054214,6.0,3.0,3.0,88.0,1.4642678312674813,1.5649766122904256,0.2532250631509081,0.0,0.5413338138051683,-0.27780557771247394,-0.4700672480842309,-0.2626126882853991,-0.7520551025884833,-0.2479974826015366,0.0,0
1842,1842,27.78055777124736,28,-19.81302337312321,-21.26560102599247,15.0,8.0,4.0,73.0,1.4474625283410802,1.666070588754594,0.24981045354624612,0.0,0.6092088797891645,-0.27247690792096496,-0.6199174514268017,-0.24476889266616364,-0.7370931135939058,-0.19813023373123212,0.0,0
1843,1843,27.2476907920965,28,-26.79927135954013,-24.589796697104873,9.0,9.0,12.0,70.0,1.4427361902597413,1.5735997496772327,0.30602179519826245,0.0,0.7739001299163374,-0.3221007972216401,-0.5457504984880692,-0.24984029193137927,-0.7073798509026675,-0.26799271359540133,0.0,0
1844,1844,32.21007972216401,28,-40.386140408917065,-35.79915391346919,5.0,8.0,3.0,84.0,1.4701436275278608,1.450455353054871,0.3417825438433253,0.0,0.5917500904637677,-0.29902331484385164,-0.11255617559016563,-0.3288447152020725,-0.7695438944426195,-0.40386140408917093,0.0,0
1845,1845,29.90233148438512,28,-27.762323303386236,-28.17746928387059,4.0,7.0,11.0,78.0,1.477975504142608,1.612783954250932,0.29065247162116165,0.0,0.5759080707847759,-0.28892308008350515,-0.2915453585416969,-0.25377084437507924,-0.8194219207502119,-0.2776232330338623,0.0,0
1846,1846,28.89230800835051,28,-28.930934838404777,-27.928238942814563,11.0,11.0,7.0,71.0,1.4975330028949285,1.4593221822911882,0.309266136868664,0.0,0.7211041844057667,-0.3073374682808012,-0.06510603337332316,-0.2986373820118515,-0.8012779292543716,-0.2893093483840477,0.0,0
1847,1847,30.733746828080125,28,-12.978476867377818,-11.484592199979378,5.0,7.0,11.0,77.0,1.380525211304345,1.4245750726061837,0.25744758783263566,0.0,0.550384867362752,-0.20554177456230255,-0.17260650587942777,-0.1540743139656877,-0.6284929380158524,-0.1297847686737782,0.0,0
1848,1848,20.554177456230256,28,-31.665343787599447,-28.491225105972024,6.0,7.0,6.0,81.0,1.4411433486493386,1.543959809611618,0.25753479542900987,0.0,0.5931674349586757,-0.2763819560659538,-0.2004546948322183,-0.2855027869637747,-0.8113624892447631,-0.31665343787599437,0.0,0
1849,1849,27.638195606595392,28,-29.43058287853073,-29.77431896244072,6.0,6.0,7.0,81.0,1.4084126959301315,1.4038383980665188,0.28023460105122483,0.0,0.5615219075930635,-0.2277781990686339,-0.06897339426382908,-0.22599510031770909,-0.6618918048483267,-0.29430582878530714,0.0,0
1850,1850,22.777819906863414,31,-35.99979160920355,-29.58342032424779,7.0,8.0,9.0,76.0,1.4922048536108095,1.4205282356229656,0.3085478515630267,0.0,0.6640875787635887,-0.40142179653097354,-0.1872771667256638,-0.3492365885734514,-0.9448392778761064,-0.3599979160920355,0.0,0
1851,1851,40.142179653097294,28,-30.253312646826977,-23.114909081317947,10.0,13.0,7.0,70.0,1.419493474350362,1.323562307216518,0.2806327099473523,0.0,0.6672420779155976,-0.21063140992863583,-0.023372988331769734,-0.1689522115747165,-0.6576160723652069,-0.30253312646826974,0.0,0
1852,1852,21.063140992863584,28,-17.37051031096563,-17.02253471209642,7.0,8.0,6.0,79.0,1.4072346063429655,1.5422438565403385,0.285890895544627,0.0,0.6383568021464968,-0.16522072310668054,-0.06749897336705846,-0.13865906472251152,-0.6966034816247582,-0.17370510310965628,0.0,0
1853,1853,16.522072310668054,28,-33.11906193267776,-32.89931850416036,8.0,8.0,8.0,76.0,1.4450834069702776,1.6253635800902255,0.26867114877029435,0.0,0.6941686405097702,-0.2833633273449319,-0.4452888393532526,-0.2684460828526853,-0.7558396841906202,-0.33119061932677757,0.0,0
1854,1854,28.336332734493183,83,-124.04065118756154,-112.88786135445868,7.0,5.0,10.0,78.0,1.5417958170935997,1.6409837807497032,0.2972922593880789,0.0,0.723490454485662,-1.2530847189557408,-1.244031368116604,-1.1347009502564558,-1.3442134354928055,-1.2404065118756158,0.0,0
1855,1855,125.30847189557412,28,-24.295193624161076,-15.720937679552975,9.0,2.0,8.0,81.0,1.4459384781351372,1.5380928523110675,0.2623541130331258,0.0,0.6883403617539829,-0.1841809344346928,-0.12522679552977617,-0.18409876362780525,-0.8289723040481036,-0.2429519362416107,0.0,0
1856,1856,18.41809344346928,28,-18.092504712001286,-20.703868329386786,7.0,2.0,11.0,80.0,1.3728203816912845,1.3882791208847425,0.27061628305214064,0.0,0.6992746995121635,-0.16118032888576078,-0.2123311075588851,-0.1587140554226784,-0.7028645389097979,-0.18092504712001287,0.0,0
1857,1857,16.11803288857608,28,-25.24331811568901,-14.86304181215084,9.0,4.0,10.0,77.0,1.4028849037499507,1.3554794596438366,0.2944800618284073,0.0,0.7147701463404809,-0.16719453561452516,-0.06259965107311476,-0.16564836533985103,-0.6759624068901303,-0.2524331811568901,0.0,0
1858,1858,16.719453561452518,28,-24.286662403870636,-24.62150233256939,6.0,7.0,11.0,76.0,1.4464852196410622,1.593314518038745,0.2804041562410576,0.0,0.732985619594081,-0.2162851856378915,-0.3548465668449198,-0.16573975309396483,-0.7762448688566336,-0.24286662403870637,0.0,0
1859,1859,21.628518563789164,28,-44.759596103253664,-40.78640727707448,7.0,8.0,8.0,77.0,1.4572226846102532,1.5532586150579404,0.26093658215754406,0.0,0.6666157535242995,-0.35226742368028546,-0.3950571118056649,-0.34753611134845863,-0.7639308494292416,-0.4475959610325366,0.0,0
